Algorithm,Captured Time,Mistakes,Mistakes (Std),Updates,Time,Accuracies,Accuracies (Std),Sensitivities,Sensitivities (Std),Specificities,Specificities (Std),Precisions,Precisions (Std),G-Mean,G-Mean (Std),Kappas,Kappas (Std),MCCs,MCCs (Std),Cumulative Errors,Cumulative Errors (Std),Sum,Sum (Std),Dataset
Gaussian_Kernel_OGD,268.0,0.39048507462686566,0.043020219748338875,247.1,0.05872632265090942,0.6095149253731343,0.04302021974833889,0.7556077429662047,0.02652648191701087,0.5912010045795367,0.011595515866549722,0.5912010045795367,0.011595515866549722,0.6682951739593751,0.016193663309833566,0.18881418748751852,0.029500312190106032,0.3048626679778315,0.031047635289830487,0.39048507462686566,0.043020219748338875,0.6734043737728707,0.017083218002465785,abtype2_w25_t0.528
Gaussian_Kernel_OGD,335.0,0.38164179104477614,0.03791485460342713,308.45,0.08092901706695557,0.618358208955224,0.037914854603427126,0.7646069907966184,0.022790366202746958,0.5936737417527131,0.01018104473755143,0.5936737417527131,0.01018104473755143,0.6736969644872357,0.014450144210010249,0.19640140030556166,0.02720987307085652,0.3145833837119826,0.027954536334554074,0.38164179104477614,0.03791485460342713,0.6791403662746658,0.015179602470038082,abtype2_w25_t0.528
Gaussian_Kernel_OGD,402.0,0.372636815920398,0.029867325412544537,370.55,0.10176352262496949,0.627363184079602,0.029867325412544565,0.7704393307411567,0.01917762745797283,0.5957227493248702,0.010621695920908692,0.5957227493248702,0.010621695920908692,0.6774409022518167,0.013149141438139491,0.20307741925381348,0.02504496013890629,0.3214833518785564,0.02684396003083611,0.372636815920398,0.029867325412544537,0.6830810400330135,0.013622418595046875,abtype2_w25_t0.528
Gaussian_Kernel_OGD,469.0,0.364818763326226,0.026493341701181634,432.25,0.12305881977081298,0.6351812366737739,0.02649334170118164,0.7758725085697427,0.014638419769960286,0.5968268785912494,0.008450061105479684,0.5968268785912494,0.008450061105479684,0.6804642279469287,0.009933899100844076,0.2077502834776864,0.018509008344469228,0.3266521044016861,0.02050901838186959,0.364818763326226,0.026493341701181634,0.686349693580496,0.010284061098066994,abtype2_w25_t0.528
Gaussian_Kernel_OGD,536.0,0.3609141791044776,0.022815226727277205,494.6,0.14020230770111083,0.6390858208955225,0.022815226727277208,0.7789014529701035,0.013088362664595668,0.597464141917526,0.006578763862849588,0.597464141917526,0.006578763862849588,0.6821566860384225,0.008114630011420192,0.2104409942458462,0.014427333792142782,0.3295789591319461,0.0161519667788245,0.3609141791044776,0.022815226727277205,0.6881827974438148,0.008520445283243801,abtype2_w25_t0.528
Gaussian_Kernel_OGD,603.0,0.358955223880597,0.020334373358359872,554.7,0.15978360176086426,0.641044776119403,0.020334373358359872,0.7822187008244617,0.011796521836273973,0.6007125559949842,0.006274251920739925,0.6007125559949842,0.006274251920739925,0.6854700359269982,0.007718717722998478,0.21713819427875772,0.014830151126856816,0.33706626060195705,0.015453716482207915,0.358955223880597,0.020334373358359872,0.6914656284097229,0.008044119591625539,abtype2_w25_t0.528
Gaussian_Kernel_OGD,670.0,0.3572388059701493,0.02055303004145745,616.65,0.18012404441833496,0.6427611940298508,0.02055303004145743,0.7842161855663551,0.011794169610157517,0.6011790831563986,0.005846266629890173,0.6011790831563986,0.005846266629890173,0.6866138893942407,0.007741457762065268,0.2187721801958049,0.01594094798904495,0.33907240282266454,0.015284675594574334,0.3572388059701493,0.02055303004145745,0.6926976343613769,0.008088154218655006,abtype2_w25_t0.528
Gaussian_Kernel_OGD,737.0,0.3561736770691995,0.017203151062558982,677.9,0.2032623529434204,0.6438263229308007,0.017203151062558982,0.7862453016174785,0.010803386966882333,0.6020047928372303,0.00584916764805967,0.6020047928372303,0.00584916764805967,0.6879744057325033,0.007240621108538189,0.22069017497558202,0.015322082061672392,0.34166008226745836,0.014595801577486297,0.3561736770691995,0.017203151062558982,0.6941250472273545,0.007524379828868375,abtype2_w25_t0.528
Gaussian_Kernel_OGD,804.0,0.35354477611940294,0.01638714043312502,739.1,0.22537646293640137,0.646455223880597,0.016387140433125034,0.7880132138861005,0.010118888485903197,0.6033141474137519,0.005593280537688486,0.6033141474137519,0.005593280537688486,0.6894962088170955,0.006723605436886789,0.2240411170549132,0.015009550246440262,0.3449088307854543,0.013568021940623419,0.35354477611940294,0.01638714043312502,0.6956636806499265,0.006983799196613531,abtype2_w25_t0.528
Gaussian_Kernel_OGD,871.0,0.3534443168771527,0.015137044479088577,799.6,0.24544447660446167,0.6465556831228472,0.015137044479088589,0.7891416771134337,0.009388687391274735,0.6047642981064542,0.004597884434559206,0.6047642981064542,0.004597884434559206,0.6908225552622388,0.00622162861382575,0.2266258166895391,0.012798535501861219,0.3480469876887372,0.012222520511311707,0.3534443168771527,0.015137044479088577,0.696952987609944,0.0064978093117514756,abtype2_w25_t0.528
Gaussian_Kernel_OGD,938.0,0.3526652452025587,0.015506505616696552,859.65,0.26728280782699587,0.6473347547974414,0.01550650561669656,0.7898604725685343,0.009503165940383423,0.606439408386174,0.00393100476529781,0.606439408386174,0.00393100476529781,0.692094504966132,0.006091984591078167,0.2299072513830301,0.012306848231343119,0.3512745128349571,0.011580977741099195,0.3526652452025587,0.015506505616696552,0.6981499404773541,0.006414041984782049,abtype2_w25_t0.528
Gaussian_Kernel_OGD,1000.0,0.3507,0.013103816238027755,917.1,0.2870670795440674,0.6493,0.013103816238027772,0.7918333333333333,0.008412769541478269,0.6064653118737737,0.003471501476455254,0.6064653118737737,0.003471501476455254,0.6929763611732175,0.005638389650443183,0.2307398764698036,0.010714828246771543,0.35253204812965655,0.010769352728480192,0.3507,0.013103816238027755,0.6991493226035536,0.005915747526874956,abtype2_w25_t0.528
OGD,67.0,0.4656716417910448,0.08101054773201141,37.15,0.0008811235427856445,0.5343283582089552,0.08101054773201141,0.634745050257963,0.1672366694084174,0.5595926550009309,0.0719826042325036,0.5595926550009309,0.0719826042325036,0.5936724811673532,0.11880642860387522,0.11049899032573123,0.13706960593939016,0.1785794236773995,0.21373326463911974,0.4656716417910448,0.08101054773201141,0.597168852629447,0.11819076508744861,abtype2_w25_t0.528
OGD,134.0,0.47164179104477616,0.054051698394721855,75.9,0.008481025695800781,0.5283582089552239,0.05405169839472184,0.6619567512270987,0.1197300978029679,0.5656217542191877,0.050266233003004326,0.5656217542191877,0.050266233003004326,0.6107969456284279,0.08354530484156393,0.11893953865749438,0.09405549592376526,0.20512276669344648,0.15158676291747777,0.47164179104477616,0.054051698394721855,0.6137892527231432,0.08386472188557864,abtype2_w25_t0.528
